350.121	0.000
389.838	0.000
392.330	0.976
394.184	3.465
395.244	6.605
395.244	9.082
396.302	33.401
397.388	56.276
398.446	77.898
399.742	97.861
405.224	98.856
419.947	98.939
433.267	99.032
446.347	99.022
463.877	98.856
488.156	98.608
506.346	98.856
518.951	99.022
527.373	97.861
536.455	98.525
540.691	99.012
549.723	98.515
563.252	98.515
579.934	98.929
594.472	98.608
614.753	98.856
635.671	98.847
673.346	98.670
694.714	98.173
698.076	96.452
700.594	98.100
702.500	95.716
704.194	66.113
705.888	38.438
707.160	17.935
709.650	4.781
712.404	1.308
718.072	0.000
749.891	0.000
