		Astrodon Photometrics  Johnson/Cousins Filters															
Wavelength (nm)	UV	B	V	Rc	Ic												
383	86.25001526	59.40496826	0.000147655	0.001569923	0.000500187
384	83.7526474	62.82762146	3.69E-05	0.000652043	0.001298994
385	81.19480896	66.06421661	5.84E-05	0.000103422	0.001786473
386	78.42694092	68.42960358	2.66E-05	5.81E-05	0.00107736 
387	75.24677277	70.13825989	3.10E-05	4.72E-05	0.000272206
388	71.94987488	72.0711441	0.000118596	3.62E-05	7.94E-05   
389	68.67882538	74.41524506	9.33E-05	4.29E-05	4.60E-05   
390	64.66223907	76.55371857	7.38E-05	4.19E-05	3.11E-05   
391	60.16250992	77.93079376	3.41E-05	3.63E-05	3.86E-05   
392	55.72060394	78.9201355	6.04E-05	3.06E-05	3.33E-05   
393	51.37026978	79.39686584	8.04E-05	2.11E-05	5.64E-05   
394	47.03622818	81.00533295	2.29E-05	2.83E-05	7.17E-05   
395	42.68963623	83.07597351	7.85E-05	2.69E-05	8.37E-05   
396	38.16198349	85.08050537	3.70E-05	2.72E-05	7.73E-05   
397	33.59958649	86.79636383	5.57E-05	2.21E-05	6.35E-05   
398	29.2624588	87.56290436	9.99E-05	1.86E-05	3.53E-05   
399	25.36115265	88.43267822	8.69E-05	3.05E-05	3.03E-05   
400	21.87882042	89.77703094	3.09E-05	1.70E-05	3.12E-05   
401	18.64576721	91.34376526	6.13E-05	2.89E-05	3.42E-05   
402	15.62760162	92.67684937	3.31E-06	1.86E-05	1.85E-05   
403	12.94177341	93.24082184	6.31E-05	1.70E-05	3.20E-05   
404	10.66363335	93.27454376	4.31E-05	2.44E-05	2.55E-05   
405	8.664974213	93.50959015	5.47E-05	2.77E-05	2.86E-05   
406	6.951835632	94.25383759	0.000121503	2.60E-05	3.14E-05   
407	5.453696251	95.25749207	0.00013282	1.87E-05	7.26E-05   
408	4.195514202	96.74404144	5.75E-05	3.33E-05	0.000143526
409	3.097770929	97.8348999	9.80E-05	3.81E-05	0.000255769
410	1.911432862	98.37249756	8.89E-05	2.97E-05	0.000391586
411	1.188523531	98.3757782	9.32E-05	2.58E-05	0.000472556
412	1.594092131	98.18798065	0.000108774	2.18E-05	0.000571252
413	1.857906938	98.21225739	8.57E-05	1.76E-05	0.001052584
414	0.827353537	98.34860229	7.92E-05	2.79E-05	0.002302757
415	0.026770081	98.32579803	6.71E-05	2.54E-05	0.003188067
416	0.001566448	98.22154999	9.82E-05	1.87E-05	0.002501012
417	0.000468316	98.18492126	2.69E-05	3.15E-05	0.001282101
418	0.000160855	98.2315979	4.43E-05	2.40E-05	0.000677721
419	0.000102475	98.18538666	3.71E-05	1.84E-05	0.000527886
420	0.00011508	98.07167053	0.000136141	2.36E-05	0.000584582
421	0.000115242	98.09868622	8.92E-05	2.97E-05	0.000758745
422	9.53E-05	98.12348175	0.00011131	2.59E-05	0.000992007
423	7.31E-05	98.258255	0.00011925	2.32E-05	0.001065373
424	6.10E-05	98.3145752	0.000143858	1.80E-05	0.00080741 
425	4.68E-05	98.09521484	0.000145417	2.54E-05	0.00043344 
426	5.26E-05	97.91531372	3.18E-05	1.98E-05	0.000222213
427	9.20E-05	97.42157745	0.000124129	0.000129266	0.000133241
428	0.00016335	96.89128113	1.26E-05	0.000322575	0.000104732
429	0.000182545	96.18231201	9.21E-05	0.000366139	8.50E-05   
430	0.00012914	95.69638062	0.000106598	0.000159561	7.42E-05   
431	8.61E-05	95.0003891	0.00011498	4.18E-05	9.28E-05   
432	0.00010199	94.8024826	1.97E-05	2.80E-05	0.000122937
433	0.000123384	94.63217163	0.000119618	2.77E-05	0.000206741
434	0.000116931	94.55641174	0.000202033	3.46E-05	0.000514915
435	7.31E-05	94.26321411	3.22E-05	5.88E-05	0.001548472
436	4.85E-05	94.14147949	8.43E-05	0.000105925	0.00322079 
437	3.94E-05	93.88724518	1.76E-05	0.000123935	0.003853155
