253.173	13.420
271.940	7.083
307.492	10.642
341.189	18.361
360.378	24.733
370.080	30.451
379.519	40.047
392.227	50.165
401.562	57.064
416.293	65.444
429.876	70.899
447.651	77.720
471.336	85.607
486.061	90.647
513.638	94.321
543.220	96.830
568.622	96.829
593.147	96.396
621.617	95.046
651.061	93.733
677.973	91.951
704.620	89.869
735.108	86.457
755.952	82.649
776.987	78.188
798.394	73.163
814.989	68.344
828.316	63.769
844.132	58.798
865.273	51.340
880.310	46.202
899.007	39.229
913.532	34.504
938.500	25.434
955.608	20.541
970.282	16.451
985.833	12.458
997.505	10.114
1012.809	7.020
1025.506	4.077
1043.660	1.582
