300.787	0.000
401.313	0.000
416.136	0.005
423.916	0.044
428.894	0.144
432.108	0.225
434.843	0.303
439.280	0.408
440.914	0.433
444.675	0.451
448.977	0.460
452.738	0.471
458.748	0.500
463.050	0.503
467.838	0.514
471.660	0.539
475.968	0.539
481.911	0.576
488.271	0.588
492.161	0.607
498.651	0.612
505.073	0.643
512.527	0.632
518.888	0.651
525.924	0.667
532.346	0.674
536.654	0.667
542.117	0.683
547.513	0.683
552.976	0.686
558.919	0.702
563.227	0.699
570.196	0.714
578.326	0.709
586.389	0.717
589.117	0.725
593.905	0.717
598.213	0.714
607.369	0.720
612.150	0.697
617.552	0.683
626.770	0.695
636.474	0.671
645.631	0.671
658.063	0.660
682.583	0.637
699.323	0.620
711.626	0.598
728.495	0.570
751.313	0.540
775.895	0.493
791.000	0.474
801.663	0.463
820.038	0.419
833.023	0.372
862.459	0.314
873.447	0.288
885.751	0.173
896.198	0.052
905.969	0.008
922.291	0.000
1000.418	0.000
